brand,model_name
AC,['COBRA']
ACURA,['ZDX' 'TLX' 'ILX' 'RDX' 'MDX' 'TL' 'RL' 'INTEGRA' 'RSX']
ALFA_ROMEO,"['147' 'MITO' '156' '145' 'BRERA' 'GIULIETTA' '75' 'GIULIA' '159' '155'
 '166' '146' '90']"
ALPINA,['B3' 'B6' 'B7' 'B10']
AMC,['EAGLE']
ARIEL,['ATOM']
ARO,['24']
ASIA,['ROCSTA']
ASTON_MARTIN,['V12' 'RAPIDE' 'V12_VANTAGE' 'V8' 'DB11' 'DB7' 'DBS' 'DB9']
AUDI,"['A4' 'S5' 'E_TRON' 'A3' 'A8' 'RS3' 'RS6' 'S7' 'TT' 'A6' 'A5' 'Q8' 'S4'
 'S6' 'S8' 'Q3' 'ALLROAD' 'RS7' 'RS5' 'SQ5' 'S3' 'Q7' 'R8' '100' 'A7'
 'RS4' '80' 'RSQ3' 'SQ7' 'TTS' 'A4_ALLROAD' 'A1' '90' '920' 'COUPE' 'Q5'
 'S2' '200' 'Q3_SPORTBACK']"
AUSTIN_HEALEY,['100']
BENTLEY,"['CONTINENTAL_FLYING_SPUR' 'AZURE' 'CONTINENTAL_GT' 'MULSANNE'
 'FLYING_SPUR' 'ARNAGE' 'BROOKLANDS' 'CONTINENTAL' 'TURBO_R']"
BMW,"['3ER' 'M3' '6ER' '7ER' '2ER' '5ER' 'X3' '4' '1ER' 'M5' 'Z3' 'X5' 'M6'
 'X6_M' 'Z4' '8ER' '2000_C_CS' '326' 'X1' 'M4' 'X4' 'X7' 'X2' '340'
 '2ACTIVETOURER' 'E3' 'X6' 'M8' 'X5_M' 'M2' '321' 'I8' '2GRANDTOURER'
 'Z3M' 'X3_M' '02' 'Z1']"
BORGWARD,['2000']
BRILLIANCE,['H230' 'M1' 'V5' 'V3' 'M2_BS4']
BUGATTI,['CHIRON']
BUICK,['RIVIERA' 'SPECIAL' 'LE_SABRE' 'ENCLAVE' 'RENDEZVOUS' 'LIMITED']
BYD,['F3']
CADILLAC,"['CTS' 'DE_VILLE' 'SRX' 'XT6' 'ESCALADE' 'FLEETWOOD' 'STS' 'XT5' 'ATS'
 'BROUGHAM' 'SEVILLE' 'ELDORADO' 'CTS_V']"
CHANGAN,['CS55' 'EADO' 'CS35PLUS' 'CS35' 'CS75']
CHANGFENG,['FLYING']
CHERY,"['AMULET' 'INDIS' 'VERY' 'BONUS' 'FORA' 'ARRIZO7' 'TIGGO' 'ORIENTAL_SON'
 'QQ' 'TIGGO_5' 'TIGGO_2' 'M11' 'KIMO' 'CROSS_EASTAR' 'QQ6' 'TIGGO_3']"
CHEVROLET,"['CAVALIER' 'ALERO' 'AVEO' 'SPARK' 'CAPTIVA' 'TRAVERSE' 'CORVETTE' 'CRUZE'
 'DELUXE' 'BLAZER' 'EL_CAMINO' 'SUBURBAN' 'EQUINOX' 'TRAILBLAZER' 'HHR'
 'EPICA' 'CAMARO' 'EXPRESS' 'NIVA' 'BOLT' 'IMPALA' 'LANOS' 'CAPRICE'
 'ORLANDO' 'CRUZE_HR' 'CORSICA' 'LUMINA_APV' 'K5_BLAZER' 'NEXIA' 'LACETTI'
 'TAHOE' 'TRACKER' 'VOLT' 'ASTRO' 'STARCRAFT' 'AVALANCHE' 'NOVA' 'BEL_AIR'
 'COBALT' 'VIVA' 'VAN' 'LUMINA' 'MALIBU' 'SILVERADO' 'EVANDA'
 'MONTE_CARLO' 'REZZO']"
CHRYSLER,"['SEBRING' '300C' 'TOWN_AND_COUNTRY' 'LHS' 'VOYAGER' 'STRATUS' 'CONCORDE'
 'VISION' 'PT_CRUISER' '300_LETTER_SERIES' 'NEW_YORKER' 'PACIFICA'
 'INTREPID' 'CIRRUS' '300M' 'LE_BARON' 'NEON' 'CROSSFIRE' '200']"
CITROEN,"['ZX' 'C4' 'C3_AIRCROSS' 'DS' 'C1' 'BERLINGO' 'XSARA' 'DS5' 'C5'
 'C_CROSSER' 'C3' 'BX' 'XANTIA' 'C4_PICASSO' 'DS4' 'JUMPY' 'SPACETOURER'
 'C6' 'DS3' 'C2' 'C5_AIRCROSS' 'C8']"
DACIA,['LODGY' 'LOGAN']
DADI,['SMOOTHING']
DAEWOO,"['LEGANZA' 'WINDSTORM' 'LANOS' 'REZZO' 'NUBIRA' 'MATIZ' 'GENTRA' 'MAGNUS'
 'NEXIA' 'DAMAS' 'TACUMA' 'ESPERO' 'TICO']"
